,sentence,predicted_langugae,target_language
28478,més tard vaig donar una nova senyal,Catalan,Catalan
28479,på måder som vores samfund har sanktioneret,Danish,Danish
28480,es pregunta a la gent què vol,Catalan,Catalan
28481,og en pige var der som har kendt mig i årevis,Danish,Danish
28482,de er temmelig lykkelige,Danish,Danish
28483,connosco para imaginarmos,Portuguese,Portuguese
28484,mellan de politiska alternativen som är tillgängliga i dessa samhällen,Swedish,Swedish
28485,che possa significare che mi amate,Italian,Italian
28486,i giochi lo fanno già non sono sicura,Italian,Italian
28487,mange tak,Danish,Danish
28488,mehr und mehr menschen,German,German
28489,ja no hi havia més queixes,Catalan,Catalan
28490,van de magnetische activiteit van onze zon ,Dutch,Dutch
28491,forresten dette er hvad de bliver begravet i,Danish,Danish
28492,és un procés molt lent és molt costós,Catalan,Catalan
28493,e o que esperamos,Portuguese,Portuguese
28494,af hvordan vi så tit beskriver vores unge,Danish,Danish
28495,og ærlig talt hvem gør ikke det latter,Danish,Danish
28496,når han når til den tilstand hvor han begynder at kreere,Danish,Danish
28497,de repercussão de segundos,Portuguese,Portuguese
28498,skratt,Swedish,Swedish
28499,dette fossilpollen kom ikke fra savannaen,Danish,Danish
28500,otterremo dunque un asfalto,Italian,Italian
28501,jai donc décidé de faire une vraie biennale,French,French
28502,que havien de succeïr,French,Catalan
28503,du coup jai laissé un point dinterrogation le point dinterrogation de super mario,French,French
28504,jeg så hvad der synes at være en familie på en fiskerbåd,Danish,Danish
28505,podies veure que la indústria la seva indústria tots estan reciclant,Catalan,Catalan
28506,prospera calibano,Italian,Italian
28507,un gasoducte va explotar amb una detonació de kilotones,Catalan,Catalan
28508,was ich phosphorkrise nenne,German,German
28509,que os pacientes que precisam muito,Portuguese,Portuguese
28510,at cest notre souhait,French,French
28511,og delfinerne kunne lege med,Danish,Danish
28512,og så vil jeg trolde dem ud af eksistens,Danish,Danish
28513,no som perfectes i no passa res,Catalan,Catalan
28514,skratt,Swedish,Swedish
28515,einer kürzeren lebenserwartung,German,German
28516,en remportant millions de dollars,Catalan,French
28517,perquè els nens puguessin entrar sense adults durant dos minuts,Catalan,Catalan
28518,die door pakistan stroomt,Dutch,Dutch
28519,dit is een andere soort jongen en een andere soort meisje,Dutch,Dutch
28520,o desafio é perceber que informação,Portuguese,Portuguese
28521,non fu la morte ma lobesità,Italian,Italian
28522,de bruger honningen i deres bar,Danish,Danish
28523,de cambreres,Catalan,Catalan
28524,encharcada com árvores milenares,Portuguese,Portuguese
28525,kan man ibland känna att man förflyttas,Swedish,Swedish
28526,det förklara varför,Swedish,Swedish
28527,vad ni kanske inte känner till om spcas historia,Swedish,Swedish
28528,quello che abbiamo fatto è stato prendere delle cellule coltivate in vitro,Italian,Italian
28529,als estats units les abelles han anat disminuint,Catalan,Catalan
28530,e non è che io sia un romantico sono un realista,Italian,Italian
28531,quelles commençaient à économiser presque  dollars par patient,French,French
28532,per essere ascoltati,Italian,Italian
28533,så vilka behov måste ordnas,Swedish,Swedish
28534,så jag går till affären jag är sjuk och jag behöver medicin,Swedish,Swedish
28535,tak skal i have,Danish,Danish
28536,sem mencionar a ligação espiritual,Portuguese,Portuguese
28537,sont très difficiles à décrire,French,French
28538,la prima metà del esimo secolo produsse,Italian,Italian
28539,på et tidspunkt bliver han endda overrasket over hvad robotten fandt på,Danish,Danish
28540,ik zou de vuilnisman worden,Dutch,Dutch
28541,dans la politique ou dans la démocratie,French,French
28542,sono passati tre mesi prima di mettere pavimento e tetto,Italian,Italian
28543,und das tat sie,German,German
28544,det blev väldiga protester flera av oss i det här rummet,Swedish,Swedish
28545,allen unglauben beiseite lassen,German,German
28546,que és sistemàtic amb la naturalesa de les seves lleis i institucions,Catalan,Catalan
28547,bis zu diesem enormen maß steigern,German,German
28548,vam fer un curs híbrid pilot experimental,Catalan,Catalan
28549,e ciò consolida la nostra economia la rende stabile,Italian,Italian
28550,presas debaixo da floresta boreal,Portuguese,Portuguese
28551,och kanske till och med ligger under marimban,Swedish,Swedish
28552, per haver protestat pacíficament ,Catalan,Catalan
28553,mensen denken dat ze zo groot zijn als struiken,Dutch,Dutch
28554,we krijgen ze zelfs niet de deur uit en ik ben serieus,Dutch,Dutch
28555,eller börja se schimpanser som människor,Swedish,Swedish
28556,ab ha omès el número ,Catalan,Catalan
28557,forbereder sig for forsvar eller angreb,Danish,Danish
28558,ce genre de numéro pour vous aujourdhui,French,French
28559,des histoires personnelles à petite échelle,French,French
28560,i llavors els vam donar opcions que eren bons ,Catalan,Catalan
28561,em vaig sentir molt trasbalsat,Catalan,Catalan
28562,mit denen eine große anzahl von menschen ihre geschichten erzählen kann,German,German
28563,quando era um construtor mais alto mais forte,Portuguese,Portuguese
28564,ens estaria demanant que redissenyéssim,Catalan,Catalan
28565,wiedergewählt und ist jetzt,German,German
28566,em que o queijo começa a derreter,Portuguese,Portuguese
28567,sinds de onthullingen van edward snowden,Dutch,Dutch
28568,mennesker er gode til andre,Danish,Danish
28569,kära drugsheaven skrev jag,Swedish,Swedish
28570,der tidligere overhovedet ikke konkurrerede,Danish,Danish
28571,et voyez une ville depuis,French,French
28572,två soldater målade för att likna spindelmannen,Swedish,Swedish
28573,die sneller en trager ging min of meer gelijk,Dutch,Dutch
28574,bis auf diese frau,German,German
28575,sabeu com esbrinarho mirant als seus ulls,Catalan,Catalan
28576,og ved at gøre det mener vi at vi kan være i stand til at hjælpe,Danish,Danish
28577,je ne parle pas dun grand espoir formidable,French,French
28578,capable de forcer lair et dentrer en contact à la bonne vitesse,French,French
28579,dan wij geloven,Dutch,Dutch
28580,sinó també com a programa polític,Catalan,Catalan
28581,quem é que pensa que é um perigoso agitador,Portuguese,Portuguese
28582,ich könnte ihnen dieses tier hier zeigen,German,German
28583,preferireste essere c o d,Portuguese,Italian
28584,sfidano la furia di una sega circolare,Italian,Italian
28585,conheçoas bem,Portuguese,Portuguese
28586,år  ,Swedish,Swedish
28587,mêlée à lincertitude ,French,French
28588,og så undrede jeg mig var der noget forhold,Danish,Danish
28589,we robuuste menselijke verjonging of langlevend ontsnappingssnelheid noemen,Dutch,Dutch
28590,im gegenzug für medizinische behandlung,German,German
28591,hvis vi tænker os,Danish,Danish
28592,que nous ayons des écosystèmes entièrement fermés ,French,French
28593,men google og særligt jon orwant ,Danish,Danish
28594,vi tænkte at der måtte være noget specielt ved irak,Danish,Danish
28595,e se de alguma forma o somos,Portuguese,Portuguese
28596,gastat esgotat afeblit impotent castrat paralitzat discapacitat,Catalan,Catalan
28597,la nôtre et celle de nos êtres chers,French,French
28598,dat in de volgende vuilnisbak brood zou zitten,Dutch,Dutch
28599,en les nostres proves,Catalan,Catalan
28600,met een massa van ongeveer drie keer die van de zon,Dutch,Dutch
28601,faz roma com café parecer superior,Portuguese,Portuguese
28602,non sarò soddisfatta,Italian,Italian
28603,où on demande aux gens denregistrer,French,French
28604,moore goode dick pluus boonnes bites rires,French,French
28605,dachten we aan die twee problemen,Dutch,Dutch
28606,ein internationales projekt bekommen,German,German
28607,com podem millorar una porta,Catalan,Catalan
28608,però patia un retràs mental,Catalan,Catalan
28609,para comprar o que está a produzir,Portuguese,Portuguese
28610,que maltractaven a les seves parelles,Catalan,Catalan
28611,al jaar lang,Dutch,Dutch
28612,i en totalitär regim som skapade misstro,Swedish,Swedish
28613,qui sto usando un algoritmo di rendering per colorare,Italian,Italian
28614,och en upptäckt som djupgående förändrade,Swedish,Swedish
28615,wir haben die ganze familie verloren,German,German
28616,dabei stellt sich heraus dass er tatsächlich ziemlich einfach zu finden ist,German,German
28617,blodssport bliver nødt til at ophøre,Danish,Danish
28618,och det går från ungefär åtta procent,Swedish,Swedish
28619,och den tredje saken vi kommer att bli fullkomligt beroende av den,Swedish,Swedish
28620,dat ze tot hetzelfde ras behoren,Dutch,Dutch
28621,però també he dadmetre,Catalan,Catalan
28622,der tiltrækker os,Danish,Danish
28623,la maggior parte delle grotte è calcarea,Italian,Italian
28624,ont des ratés,French,French
28625,i de bordells on les nenes són forçades a rebre de ,Catalan,Catalan
28626,å andra sidan kilo,Swedish,Swedish
28627,que são os estados unidos ,Portuguese,Portuguese
28628,come se credessero,Italian,Italian
28629,de linnovation de léconomie,French,French
28630,dass man man mehr erwartet,German,German
28631,é esta necessidade de conciliar aquilo que o grande quer,Portuguese,Portuguese
28632,no et feien fotos,Catalan,Catalan
28633,materiali intelligenti,Italian,Italian
28634,dataene er sidenhen blevet brugt af,Danish,Danish
28635,les objectifs à atteindre pour léconomie etc,French,French
28636,jeg begyndte at se verden på en helt anden måde,Danish,Danish
28637,het gaat niet alleen om mijn werk met amfibieën,Dutch,Dutch
28638,af stigningen i lønsedlen med hjem,Danish,Danish
28639,porque eu já sou todas estas coisas,Portuguese,Portuguese
28640,die ze hadden ik wilde het,Dutch,Dutch
28641,pour réchauffer les échantillons,French,French
28642,und wir sind die westliche welt und,German,German
28643,der er også en sjælden ting kaldet temporallapsepilepsi,Danish,Danish
28644,er faktisk en af de diagnosticerede karakteristika,Danish,Danish
28645,och tom som under sitt liv förkroppsligat,Swedish,Swedish
28646,credo non ci sia niente come una crisi,Italian,Italian
28647,dit was ik op de piano,Dutch,Dutch
28648,dans un avion à énergie solaire,French,French
28649,at vi alle bør træffe vores egne valg,Danish,Danish
28650,per a servir als que senfronten a una guerra civil,Catalan,Catalan
28651,et je suis au milieu de cette mise à mort au fond,French,French
28652,à explorer et utiliser,French,French
28653,no és res tret dambiciós,Catalan,Catalan
28654,mas a grécia e a roma antigas ,Portuguese,Portuguese
28655,men vi at alliance francaise,Danish,Danish
28656,sicherlich entschuldigen sie sich für das,German,German
28657,e em vez de vos dizer vou mostrarvos,Portuguese,Portuguese
28658,die eisverhältnisse temperatur ,German,German
28659,en menys de anys,Catalan,Catalan
28660,om de wereld te veranderen,Dutch,Dutch
28661,von sichtbarem und nachprüfbarem zu finden,German,German
28662,noget på størrelse med en kop kaffe,Danish,Danish
28663,collegando pechino,Italian,Italian
28664,dann gibt es kinder für die englisch eine fremdsprache ist,German,German
28665,per a dos egos,Catalan,Catalan
28666,perquè en aquella època,Catalan,Catalan
28667,pour un groupe de lesbiennes en croatie,French,French
28668,wir mussten männer involvieren,German,German
28669,man gör det helt enkelt inte för att ingen är besatt av det,Swedish,Swedish
28670,får du inte skriva om någonting som är våldsamt,Swedish,Swedish
28671,a veure si podeu inspirarvos en algun animal superheroi personatge de dibuixos,Catalan,Catalan
28672,at når man rejser rundt i namibia,Danish,Danish
28673,absorver intuitivamente essas relações,Portuguese,Portuguese
28674,det er at køre motorcykel,Danish,Danish
28675,in der experimentellen gruppe verglichen mit der kontrollgruppe  anstatt ,German,German
28676,från det modernaste rymdteleskopet för planetjakt,Swedish,Swedish
28677,bat uns der meterologe eines tages,German,German
28678,sur une carte du monde donnant ainsi une idée de leur répartition géographique,French,French
28679,som en tjeneste til dem de mente var værdige,Danish,Danish
28680,toute sa vie la transformation de sa vie,French,French
28681,det fintuner ens hjernes sociale instinkter,Danish,Danish
28682,de nummer één verontreiniger van drinkwater dat net het tegenovergestelde doet ,Dutch,Dutch
28683,à ce jour on continue à donner,French,French
28684,a quan es remunta això a quan es remunta el llenguatge modern,Catalan,Catalan
28685,utförde vi en studie på ett sjukhus,Swedish,Swedish
28686,je getallen zijn niet helemaal goed,Dutch,Dutch
28687,måderne vi skaber innovation investerer,Danish,Danish
28688,há cerca de seis anos,Portuguese,Portuguese
28689,på grund af mennesker der forlader butikken hurtigere eller bare vender rundt i døren,Danish,Danish
28690,desejovos a melhor de todas as jornadas possíveis,Portuguese,Portuguese
28691,sterk naar boven afronden gelach,Dutch,Dutch
28692,un forte diritto di sapere se i gestori idrici,Italian,Italian
28693,ein kleines fragment einer melodie hört,German,German
28694,okay der er en anseelig mængde bevis på upsuck teorien i dyreriget ,Danish,Danish
28695,die sich in meiner arbeit aufdrängen,German,German
28696,e avevi in mano un cartello che promuoveva shinerama,Italian,Italian
28697,en petits sobres innovadors,Catalan,Catalan
28698,och plötsligt uppdagas,Swedish,Swedish
28699,ett till ett till tresiffrigt ,Swedish,Swedish
28700, un altre número de tres xifres senyor,Catalan,Catalan
28701,ihre familien rechtzeitig entkommen,German,German
28702,den närmaste jämförelsen jag kan ge,Swedish,Swedish
28703,för att förbättra kvalitén på sitt lyssnande,Swedish,Swedish
28704,og så er vi taget ud i de store vidder,Danish,Danish
28705,ik heb me gerealiseerd,Dutch,Dutch
28706,che aiuta ad avviare lattività degli enzimi,Italian,Italian
28707,men det har inte visat sig vara idealiskt,Swedish,Swedish
28708,i un tercer grup va rebre un missatge sobre,Catalan,Catalan
28709,uno studio di questo genere,Italian,Italian
28710,så disse gutter bliver en del af løsningen,Danish,Danish
28711,man denke nur an powersellers,Danish,German
28712,de industrie wil zichzelf aan de orde houden,Dutch,Dutch
28713,ddt und des und atrazin,German,German
28714,draußen in der lobby wäre,German,German
28715,quan veuen homes i dones caminant,Catalan,Catalan
28716,et je suppose que beaucoup dentre vous,French,French
28717,det skete så bare at borgerrettighedsforkæmperne,Danish,Danish
28718,så jeg en rapport fra reuters der skrev,Danish,Danish
28719,à quel point notre confiance en ligne a évolué ces dernières années ,French,French
28720,le système financier américain ressemble à cela,French,French
28721,sabem eles adoptam um comportamento que se e alastra a vós ,Portuguese,Portuguese
28722,no la podràs tenir,Catalan,Catalan
28723,i det indiske ocean og det er dér,Danish,Danish
28724,på et tidspunkt i jeres liv,Danish,Danish
28725,es ist die idee eines museums,German,German
28726,estava muito doente,Portuguese,Portuguese
28727,politische machtverhältnisse gab,German,German
28728,kun ved at lave reverse engineering og sende,Danish,Danish
28729,um vorherzusagen wie viele arbeitsplätze,German,German
28730,são universais,Portuguese,Portuguese
28731,så jag undersökte saken närmare,Swedish,Swedish
28732,als hallucinerend omdat wanneer het effect zijn intrede doet,Dutch,Dutch
28733,les persones grans que segueixen aprenent i són curioses,Catalan,Catalan
28734,no es tracta només de lavortament,Catalan,Catalan
28735,et vous savez la réalisation en a été simple,French,French
28736,uden trosfrihed,Danish,Danish
28737,quando abbiamo spirito pionieristico,Italian,Italian
28738,primo non stare in disparte,Italian,Italian
28739,i nens amb problemes atrapats entre dos móns,Catalan,Catalan
28740,per lu per cent,Catalan,Catalan
28741,ze zou hart hebben onder de vorm van passie,Dutch,Dutch
28742,que ainda têm a esperança de sobreviver,Portuguese,Portuguese
28743,laissant seulement un voile blanc et le bruit blanc des gicleurs,French,French
28744,diese unzen,German,German
28745,e podemos simular muitas outras funções,Portuguese,Portuguese
28746, både de mörka och ljusa ,Swedish,Swedish
28747,en trussel,Dutch,Danish
28748,og hvorfor måtte eric merrifield opfinde dolos,Danish,Danish
28749,en we hebben cradle to cradle gold gekregen,Dutch,Dutch
28750,als wir merkten dass alles funktionierte,German,German
28751,ils ne fonctionnent pas correctement,French,French
28752,und du in den trümmern standst,German,German
28753,och du får en helt annan historia,Swedish,Swedish
28754,mas temos uma emergência planetária,Portuguese,Portuguese
28755,keynes kallade det för sparsamhetens paradox ,Swedish,Swedish
28756,het totaal van de genetische gegevens ,Dutch,Dutch
28757,perché le epidemie sono una minaccia alla sicurezza,Italian,Italian
28758,não lhes peço que copiem exactamente,Portuguese,Portuguese
28759,visas av de här prylarna är faktiskt tänkta,Swedish,Swedish
28760,waarschijnlijk het meest belangrijke aspect is,Dutch,Dutch
28761,jb du bliver nødt til at tage et billede den følelse af nødvendighed,Danish,Danish
28762,we zien die allemaal,Dutch,Dutch
28763,if this be treasonsi això és traïció,Catalan,Catalan
28764,flyve en mørkelægger ind foran det,Danish,Danish
28765,applaus,Dutch,German
28766,att ompröva nuvarande praxis,Swedish,Swedish
28767,que estamos a aprender sobre mecânica celular,Portuguese,Portuguese
28768,veiem tota aquesta complexitat,Catalan,Catalan
28769,indbefatter ikke offentligt finansieret statistik der er nogen websider,Danish,Danish
28770,uma linha de comboio elevada,Portuguese,Portuguese
28771,com o rótulo do cigarro cohiba,Portuguese,Portuguese
28772,meget lignende fordeling,Danish,Danish
28773,jingle der intelwerbung,German,German
28774,har de taget imod udfordringer,Danish,Danish
28775,ik schreef meer dan korte verhalen,Dutch,Dutch
28776,så kunde till och med jag se att min höft var dålig,Swedish,Swedish
28777,e per dio lo si vede dai risultati,Italian,Italian
28778,vaig anar al cirurgià,Catalan,Catalan
28779,tillsammans med en linjal,Swedish,Swedish
28780,que si on ne fait pas attention au déficit,French,French
28781,il y a la convention daarhus,French,French
28782,senare fick jag ett brev från denna man,Swedish,Swedish
28783,passar el següent any a la presó,Catalan,Catalan
28784,ma le fonti da cui sarà generato,Italian,Italian
28785,quella sono io sulla sinistra,Italian,Italian
28786,de robots volgen en ze,Dutch,Dutch
28787,rendre très difficile pour un pays dutiliser sa puissance de feu,French,French
28788,eles conseguirem retirar uma ferramenta de pensamento crítico,Portuguese,Portuguese
28789,ara lopció més popular va esdevenir la menys popular,Catalan,Catalan
28790,e la sua relazione con la società,Italian,Italian
28791,in forma sintetica il significato essenziale della teoria,Italian,Italian
28792,nous devons tout regarder,French,French
28793,les différences ordinaires sétaient évaporées,French,French
28794,beh per la maggior parte,Catalan,Italian
28795,als mir aufging dass ich das,German,German
28796,bem esta imagem todos vocês a viram,Portuguese,Portuguese
28797,den första gången conor angrep mig fysiskt,Swedish,Swedish
28798,sembra logico che noi che esistiamo in questo mondo,Italian,Italian
28799,ville de sige jeg har seks venner,Danish,Danish
28800,del problema de lespelma,Catalan,Catalan
28801,a trabalhar sem eletricidade e sem água para tentar,Portuguese,Portuguese
28802,ik wil gewoon dat jullie het onthouden,Dutch,Dutch
28803,i després vaig contraure càncer,Catalan,Catalan
28804,som ikke bare er relevante for programmering,Danish,Danish
28805,que ceux den face on peuvent effectivement avoir raison,French,French
28806,il marito furioso minaccia di uccidere lamericana,Italian,Italian
28807,i finalment després dun any,Catalan,Catalan
28808,la següent peça del trencaclosques,Catalan,Catalan
28809,um presente partilhado e um futuro comum,Portuguese,Portuguese
28810,und die riesige verantwortung,German,German
28811,gli incarichi che vogliono portati a termine indicano il prezzo,Italian,Italian
28812,in de afgelopen decennia minstens zo niet nog langer,Dutch,Dutch
28813,om de hele weg af te leggen,Dutch,Dutch
28814,se eles estiveram envolvidos nesta experiência,Portuguese,Portuguese
28815,skratt,Swedish,Swedish
28816,anche se non le vanno,Italian,Italian
28817,mennesket gør noget,Danish,Danish
28818,jublade så fort någon av de olympiska lagen gick förbi på gatan,Swedish,Swedish
28819,og så endnu tre fire eller fem år,Danish,Danish
28820,as coisas sem remédio,Portuguese,Portuguese
28821,zou aan de kant komen te staan,Dutch,Dutch
28822,aleshores potser podré arribar a la fi daquest exercici,Catalan,Catalan
28823,un processus qui négotie secrètement des accords,French,French
28824,duurzaamheid is inmiddels niet alleen meer,Dutch,Dutch
28825,ho vam fer tres dies desprès que el nou president kibaki,Catalan,Catalan
28826,motsatsen,Dutch,Swedish
28827,mi sono detto ok andrò dallanziano del villaggio,Italian,Italian
28828,amb qualsevol altra malaltia,Catalan,Catalan
28829,detta är väldigt praktiskt,Swedish,Swedish
28830,et quelle ait disparu toute la nuit,French,French
28831,jag kan se mitt arbete som ett jobb jag gör det för pengar,Swedish,Swedish
28832,formaramse não para corresponderem às circunstâncias deste século,Portuguese,Portuguese
28833,og i stoler på hinanden,Danish,Danish
28834,en liten avstickare om att samla hjärnor,Swedish,Swedish
28835,sabem que é muito leve,Portuguese,Portuguese
28836,denn die fda lässt sie uns erst an menschen einsetzen,German,German
28837,nel ho raggiunto,Italian,Italian
28838,come si può vedere da questo cartello allinnalzamento del livello del mare,Italian,Italian
28839,di questo tipo di risultato e quando avremo finito,Italian,Italian
28840,så när fisken kontrollerade antalet sjöborrar,Swedish,Swedish
28841,terug te leiden zijn,Dutch,Dutch
28842,hvordan gør man det,Danish,Danish
28843,e isso é porque os nossos filhos são tão valiosos,Portuguese,Portuguese
28844,noventa graus norte isto é directamente no pólo norte,Portuguese,Portuguese
28845,och varenda dag blir tonfisken blåfenor som dessa,Swedish,Swedish
28846,om varför det finns så många unga stjärnor,Swedish,Swedish
28847, torna al posto a cui appartenevi una volta ,Italian,Italian
28848,perquè sap que lhe adoptada i que no puc tenir fills,Catalan,Catalan
28849,porque as iniciativas e programas,Portuguese,Portuguese
28850,fra silicon valley,Danish,Danish
28851,vous avez un millier de conférences sur ted,French,French
28852,apenas dão bons excônjuges,Portuguese,Portuguese
28853,bàsicament cirurgia sense cicatrius,Catalan,Catalan
28854,han fik sin opgave tilbage og forventede en næsten perfekt karakter,Danish,Danish
28855,o código tem a forma destes padrões de,Portuguese,Portuguese
28856,un homme dans lassistance a levé la main,French,French
28857,reduir el risc de càncer,Catalan,Catalan
28858,hvorfor skal vi beholde de bundkedelige advokater,Danish,Danish
28859,dels als mesos els nadons són totalment equivalents,Catalan,Catalan
28860,is deze twee plaatjes,Dutch,Dutch
28861,hvis vi breder diskussionen ud til at kigge,Danish,Danish
28862,im jahr hatten wir wie gesagt,German,German
28863,en la segona condició la gent,Catalan,Catalan
28864,mensen beschermen wat ze liefhebben,Dutch,Dutch
28865,utan också deras påhittade karaktärer,Swedish,Swedish
28866,krach die tür ging zu und ich war allein,German,German
28867,gelach,Dutch,Dutch
28868,de la seva activitat digital,Catalan,Catalan
28869,er gebeuren vele prachtige dingen er zijn engelen,Dutch,Dutch
28870,dat gaat van beoefenaars ,Dutch,Dutch
28871,och jag stötte också på ett projekt kallat sixword memoirs,Swedish,Swedish
28872,que não queremos realizar,Portuguese,Portuguese
28873,in de eerste plaats zijn virussen vrij complex,Dutch,Dutch
28874,instantaneamente através da informação,Portuguese,Portuguese
28875,ze nam grote spiegels ,Dutch,Dutch
28876,lui vede le estreme conseguenze del problema,Italian,Italian
28877,men fra det japanske perspektiv,Danish,Danish
28878,os jornais locais escreveram sobre aquilo,Portuguese,Portuguese
28879,si tenim en compte que aquests imants pesen més de tones,Catalan,Catalan
28880,hoe maken we dit anders,Dutch,Dutch
28881,wk jag tror det kommer att ge mer än watt,Swedish,Swedish
28882,où nous amènera le pont,French,French
28883,men faktisk mener jeg at denne følelse af hjælpeløshed,Danish,Danish
28884,als iets gebeurt in één deel van het continent,Dutch,Dutch
28885,er opbygget i natanz,Danish,Danish
28886,e nessuna famosa mitologia fantascientifica,Italian,Italian
28887,dass ein wort traurig ist in diesem fall,German,German
28888,ont refusé de les laisser emmener leurs animaux domestiques,French,French
28889,och var står då de som förespråkar demokrati,Swedish,Swedish
28890,aan die tijdelijke tempel,Dutch,Dutch
28891,e vi faccio sistemare le fognature,Italian,Italian
28892,niet een plek waar je met een,Dutch,Dutch
28893,vi justerar det en del,Swedish,Swedish
28894,américa japão e nova zelândia,Portuguese,Portuguese
28895,che avrebbero favorito la crescita delle alghe,Italian,Italian
28896,van die zesduizend talen wordt vandaag de dag,Dutch,Dutch
28897,però no tenen res sobre què escollir,Catalan,Catalan
28898,ons werk is het ontwikkelen,Dutch,Dutch
28899,hightech chi se ne frega,Italian,Italian
28900,das richtige ergebnis das gewinnbringende,German,German
28901,dovremmo ridicolizzare questi moderni cercatori,Italian,Italian
28902,ha chiesto al pilota prima di salire a bordo quanto sarebbe durato il volo,Italian,Italian
28903,bei photosynth ähnelt mit unserer grafik ,German,German
28904,zo sterk in mij dat er geen plaats is voor mezelf,Dutch,Dutch
28905,så är det inte möjligt att summera varje tedtalk individuellt,Swedish,Swedish
28906,causa un così lungo tempo lou non lha mai visto finito,Italian,Italian
28907,e do desvio padrão nós vamos fazer isso mais tarde,Portuguese,Portuguese
28908,auf einer fischereiexpedition,German,German
28909,o início das plantas com flor,Portuguese,Portuguese
28910,són molt petites generalment són quadrades,Catalan,Catalan
28911,bess som de ønsker majestæt,Danish,Danish
28912,va rebre una ordre judicial per no publicar la història,Catalan,Catalan
28913,por anos de guerra na década de ,Portuguese,Portuguese
28914,foi mesmo líder nacional,Portuguese,Portuguese
28915,det här hände år ,Swedish,Swedish
28916,vam anar a triar una àvia a gambia,Catalan,Catalan
28917,dun mal físic una ferida,Catalan,Catalan
28918,vam ser pioners en el concepte de dones,Catalan,Catalan
28919,ihre fähigkeit geschichten zu erzählen in diesem alter vorschule,German,German
28920,tiros de metralhadora,Portuguese,Portuguese
28921,um diploma de professor,Portuguese,Portuguese
28922,viser at ca en tredjedel mener,Danish,Danish
28923,som satt på avsatsen,Swedish,Swedish
28924,frühgeschichtliche menschheit,German,German
28925,så denne bestemte begivenhed,Danish,Danish
28926,getrieben durch die informationstechnologie,German,German
28927,in quella di automezzi per lesercito,Italian,Italian
28928,ça a été fait en même temps lannée dernière au japon et aux usa,French,French
28929,vrouw ik denk dat ik er jaar blijf misschien sterf ik wel,Dutch,Dutch
28930,for mig er det bedste eksempel på hvordan man gør det,Danish,Danish
28931,das macht sinn oder,German,German
28932,dans les freins des trains au moins dans les freins de trains allemands,French,French
28933,dat ik zoveel eten had in amerika,Dutch,Dutch
28934,una mica de vivaldi de fons no fa cap mal a ningú,Catalan,Catalan
28935,så jag klev av från arbetslivet,Swedish,Swedish
28936,era stata indetta una gara per il primo,Italian,Italian
28937,molto vantaggiosa per alcuni e ancor più svantaggiosa per altri,Italian,Italian
28938,pourtant sur la surface ça semblait seulement,French,French
28939,ik moet zeggen dat vera me bang maakt,Dutch,Dutch
28940,se rapportent à ces choses,French,French
28941,ein unmoralisches molekül ist und,German,German
28942,das ist seine handschrift,German,German
28943,det er et eksempel jeg fik,Danish,Danish
28944,prendiamo ogni singolo,Italian,Italian
28945,je sais quil ny a pas une femme,French,French
28946,blauwe zonnen groene wervelwinden,Dutch,Dutch
28947,una persona de gènere estrany,Catalan,Catalan
28948,så lad os tale om hukommelsen hukommelsen,Danish,Danish
28949,et cette photo a fait le tour du monde,French,French
28950,que supera el petit mascle llanut,Catalan,Catalan
28951,specialmente in un periodo in cui molti di noi si sentono colpevoli,Italian,Italian
28952,den store ordbogsforfatter,Danish,Danish
28953,vom heck an den bug verfrachten,German,German
28954,que se esta pequena criança,Portuguese,Portuguese
28955,den ville selvfølgelig være en,Danish,Danish
28956,al deze karakteristieken deelt,Dutch,Dutch
28957,den ide er fanget fint af dette citat,Danish,Danish
28958,jeg ville indgyde hjerte og sjæl i folk,Danish,Danish
28959,og jeg opfordre jer til at blive involveret,Danish,Danish
28960,var finns ljudinredningsarkitekterna,Swedish,Swedish
28961,nous tous qui avons connu un regret,French,French
28962,siges det,Danish,Danish
28963,og fortalte chefen for afdelingen,Danish,Danish
28964,quello che abbiamo visto in quella prova,Italian,Italian
28965,elle fréquente ses enfants et petitsenfants,French,French
28966,om hun kind dat gebouw te zien bouwen,Dutch,Dutch
28967,er jeres i har helt klart fortjent dem,Danish,Danish
28968,gemensamt,Swedish,Swedish
28969,qui changent totalement,French,French
28970,så här kommer vi göra det,Swedish,Swedish
28971,in cui un gruppo è stato esplicitamente escluso,Italian,Italian
28972,mentre dovrebbe andare a scuola,Italian,Italian
28973,und ich habe das große glück in den letzten,German,German
28974,ist es hoffentlich viel besser und ich wollte nur den,German,German
28975,vam viatjar a llocs interessants no vam tenir fills a ladolescència,Catalan,Catalan
28976,cétait vraiment une aiguille dans une botte de foin cette recherche,French,French
28977,que por vezes não tomar drogas,Portuguese,Portuguese
28978,ens stress reaktion bliver sundere,Danish,Danish
28979,ben ik las ergens dat bij min graden,Dutch,Dutch
28980,ned til de sekunders rumklangstid,Danish,Danish
28981,på at finde ud af hvem der skal,Danish,Danish
28982,hvor engageret man er,Danish,Danish
28983,jeg ville komme hjem med tøj stinkende af trærøg,Danish,Danish
28984,per favore non lasciami stare,Italian,Italian
28985,denne meget krævende proces,Danish,Danish
28986,et les traîneraient dans une installation de déminage,French,French
28987,mais les architectes vanupieds ont réellement construit luniversité,French,French
28988,dass sie sich auf unseren gemütszustand auswirkt albinonis adagio,German,German
